,entrez_id,AveExpr,logFC,lfcSE,stat,P.Value,adj.P.Val,GeneLength,MGI.symbol,Human.EntrezID,HGNC.symbol
78,212483,3889.88072711669,-5.31729431611862,0.236903147194364,-22.4450134119836,1.43160576150756e-111,3.51532630130183e-109,4341,Fam193b,54540,FAM193B
79,12780,1203.49617186537,-6.33336827421828,0.282211344142369,-22.4419336985378,1.53426720026061e-111,3.71972401096095e-109,5389,Abcc2,1244,ABCC2
80,67495,2154.55694712155,-5.37967821919476,0.240362060115382,-22.3815614519709,5.95233501037818e-111,1.42506340567217e-108,2864,Tmem167b,NA,NA
81,20379,47555.8953365621,-4.57518485027834,0.205224641268354,-22.2935453657135,4.2681785081383e-110,1.00923978970831e-107,1760,Sfrp4,6424,SFRP4
82,104479,7754.20684733253,-5.92581275036068,0.266104752420429,-22.2687219843345,7.42898982968018e-110,1.73521270985201e-107,3402,Ccdc117,150275,CCDC117
83,76747,15226.2854172701,-4.33296688789752,0.195345395302229,-22.1810546452542,5.23376219159291e-109,1.20773791874191e-106,573,Dapl1,92196,DAPL1
84,258389,12891.8012093018,3.86278579930896,0.174505127251596,22.1356579038489,1.43405045311177e-108,3.26980575338687e-106,942,Olfr1278,NA,NA
85,74239,773.184545171942,-4.81615619820739,0.217994281669672,-22.09303914451,3.68735139285722e-108,8.30868720322285e-106,4359,Iqce,NA,NA
86,223774,1044.87179011006,5.8104910963485,0.26317465062411,22.0784603781903,5.09137954611486e-108,1.13389758658998e-105,2156,Alg12,79087,ALG12
87,74229,798.140277598933,5.77315495232318,0.261687987918434,22.0612149539039,7.45534157459541e-108,1.64128916296811e-105,4420,Paqr8,85315,PAQR8
88,100169866,553.19173341127,-6.93490242652358,0.314574242891288,-22.0453599849247,1.05835506104937e-107,2.30348573684983e-105,1859,NA,NA,NA
89,71909,1743.76007255833,-5.90326152339553,0.267792091933476,-22.0441966033187,1.08590628250124e-107,2.33689472233104e-105,2195,Haus5,23354,HAUS5
90,69514,6858.33783940741,6.63135726041563,0.301228621311467,22.0143664687124,2.09782258883793e-107,4.46439956044587e-105,607,Lce3e,NA,NA
91,73072,3741.12990254554,-4.72554363137729,0.215104914409643,-21.9685526216199,5.7574118314263e-107,1.21177701986053e-104,4616,Prr36,80164,PRR36
92,100310809,1933.73690575109,-3.96336102973823,0.180714269944416,-21.9316439756378,1.29657467910823e-106,2.69927117706087e-104,2002,NA,NA,NA
93,211286,8358.15704525842,4.81493952197348,0.219872176155053,21.8988123289325,2.66640440207748e-106,5.49135951752581e-104,2447,Cln5,1203,CLN5
94,217826,654.623234558835,-6.85061742763755,0.313236556295001,-21.8704276048347,4.96896443552737e-106,1.01245293440059e-103,3112,Kcnk13,56659,KCNK13
95,627111,1870.23026317871,7.27414974768935,0.332650784624897,21.8672255828039,5.33016254159982e-106,1.07461687536065e-103,2583,Vmn2r92,NA,NA
96,18196,4276.78198240931,5.10424100572513,0.234185910034086,21.7956793599675,2.54980836428816e-105,5.08713329179282e-103,2140,Nsg1,27065,NSG1
97,71810,1672.22891831093,6.76119409260102,0.310250650563434,21.7926830461831,2.72224612296454e-105,5.37517319516906e-103,2822,Ranbp3,8498,RANBP3
98,380718,1021.24136169664,-6.90792639019535,0.317323519689338,-21.769348824059,4.53020514642101e-105,8.85377746626548e-103,2365,Mks1,54903,MKS1
99,545651,1529.15170508087,-4.86283450807964,0.224569738722517,-21.6540061708325,5.57200414237622e-104,1.07798581150436e-101,1462,Gm13278,NA,NA
100,18113,2979.97620680948,4.58695979971219,0.21395384109766,21.4390158932387,5.78235196953539e-102,1.10749387272511e-99,954,Nnmt,4837,NNMT
101,11736,489.627053282457,-5.00578201554719,0.233665728180033,-21.4228336116556,8.18549439330393e-102,1.55224528826683e-99,8034,Ankfy1,51479,ANKFY1
102,385674,65620.8331858619,3.53966025139941,0.165855049912246,21.3418901219603,4.6381271585846e-101,8.68336014638854e-99,5942,Zfp174,7727,ZNF174
103,118451,1318.57161181145,5.00531445292764,0.234533529925572,21.3415730131041,4.66969192856482e-101,8.68336014638854e-99,2079,Mrps2,51116,MRPS2
104,235634,1003.28553848592,5.60160928658662,0.262851386498614,21.3109368042697,8.9878979544511e-101,1.65524239924617e-98,499,Fam240a,100132146,FAM240A
105,258829,51576.0719627673,-5.32910378353048,0.250960082741085,-21.2348662198542,4.54985911100716e-100,8.29937633839239e-98,939,Olfr134,NA,NA
106,110147,1034.94672276629,-4.61963647818876,0.218421443319851,-21.1501050811384,2.75327844924464e-99,4.97486246588515e-97,4061,Ehmt2,10919,EHMT2
107,56280,3186.47298442663,7.23722658074993,0.342425387882223,21.1351927656695,3.77643488996234e-99,6.75981845303259e-97,1496,Mrpl37,51253,MRPL37
108,68703,62624.716097851,7.88376357777414,0.373844825419293,21.0883314191442,1.01788887295209e-98,1.80515051700476e-96,7458,Rere,473,RERE
109,71086,9546.92041185297,5.06733414937949,0.240369176646046,21.0814640216593,1.1768641214372e-98,2.06793380898042e-96,1724,4933412E12Rik,NA,NA
110,216987,4385.60790265695,-3.82059071154453,0.181265760216828,-21.077288435358,1.28539920872946e-98,2.23811373134503e-96,3871,Utp6,55813,UTP6
111,100503089,3108.89541538668,-4.0614759506057,0.192785350249831,-21.0673474169195,1.5856894474454e-98,2.73609999882178e-96,1656,NA,NA,NA
112,26445,886.873936278242,5.92538532938072,0.28149668244281,21.0495742896883,2.30742970938331e-98,3.94591082355523e-96,847,Psmb2,5690,PSMB2
113,56812,1711.83957914561,-6.5342729268537,0.310487997089154,-21.045170789573,2.53203826560516e-98,4.29169282310935e-96,3203,Dnajb2,3300,DNAJB2
114,69635,2028.91025604776,-6.27999320720982,0.299468180890762,-20.9704857074635,1.22012105732879e-97,2.04991040447529e-95,5935,Dapk1,1612,DAPK1
115,12480,913.060270273684,-5.17680707390817,0.247361552397132,-20.9280990668953,2.97110633934684e-97,4.94831301891392e-95,1245,Cd1d2,912,CD1D
116,18746,1155.64793270967,5.15732800250462,0.246554849871786,20.9175686675259,3.70528881427619e-97,6.1178790223993e-95,2599,Pkm,5315,PKM
117,18607,8050.53311481439,-4.4410846678397,0.212710842801536,-20.8785062827443,8.39762657555259e-97,1.37469864787657e-94,7160,Pdpk1,5170,PDPK1
